90024d4d8e1f40a6af8bd9b128e20b38,30587858,2260_3601030086,51092AJQ,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
8f3a44fe76b543ebb0a11b22929b7e22,30587859,LHCP010,51091YNT,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,总部发货,,,,,N
691acba1095c4ef4b78d07196a84d137,30587860,C009320,51091YNT,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R000156,,,N
f2d246026f99463d9af77c0387716417,30587861,C010699,51092GHT,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
913b9c0703e64c16a48a661e8e3a70b6,30817442,C012744,51091YBT,1,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,R000448,,,N
7450ee035b5a4ddaa672dcaf39b94aa4,30721056,C025852,51092EPL,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
85060632fe244093ae8183c6b8984752,30721057,C008393,51092CQP,23,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
e3070d62f5774e68b898bc1735d30efb,30721058,C108215,51092CQP,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
1d6e9864ac29460392070f1f9fb6c43a,29847919,C130650,51092GHF,3,2018-04-07 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,R000475,,,N
456f7471174642c9bdee3de888fbcc38,29847920,C032467,51092GHF,2,2018-04-13 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,R0010,,,N
7a898d00635642159be1532ab83ce64f,29847921,C116270,51091YEQ,7,2018-05-03 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,,,,N
26f73c508e7f44c5a00af1c1bdcbbfcb,29847922,C094348,51092ERC,1,2018-04-11 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,R000469,,,N
94e6ecf51f1f4775a21ea8dea728d29c,29847923,C103977,51091YEN,3,2018-05-01 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,,,,N
9a6c578dc44a4df99a18cc0285f7d089,30587863,C040680,51091YNT,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R0010,,,N
d56fa90a2d3a4e0683226cef38e60c1a,29847924,C103977,51092GHG,1,2018-04-21 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,,,,N
7e42b03ee5574748b05acfac9144bf47,29847925,C009320,51092FFU,1,2018-05-01 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,R000156,,,N
5c536eee41004c2f8ba3b5531ac1969a,30587864,LHCP010,51092AKY,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,总部发货,,,,,N
943d3a6084784d44aa1e9c760f544f91,29847926,C086320,51092FWP,1,2018-05-04 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,R000159,,,N
1821e76d07ef409fa47b818074380165,30817443,C012744,51091NKN,1,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,R000448,,,N
2bc289625a38430ab9c55c1a4ff0624c,29847927,2822_9243080001,51092FWP,1,2018-05-02 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,,,,N
88197128e66e4cd6bfcfbced0420cd4e,30587866,C011341,51092EPL,2,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,总部发货,,,,,N
4c86e5927bc24faeb80960afff75e640,30587867,2706_4201010042,51092FFU,2,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
93795fee12d546369ea7c0ee131af597,30587868,C038766,51092GHF,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R000159,,,N
28a3524b7b4448be82a3a8011e61768b,30587869,1851_2106220001,51091YEQ,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
3215946e3c82483097d288edc6f7c0b5,30587870,C131140,51092ALF,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R000505,,,N
b32005076544456c85f544a2aa1106e9,30721059,C011709,51091TJU,9,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
52170c4ce1ec4e7784a77bad923ec99b,30721060,C049934,51092FWP,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
5682c2d18d3c49b2b2efb51a8c58f5ce,30721061,C137941,51092FWP,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
2ed5240251f04116b8389a5d1c97dad6,30817444,2822_9143010060,51092GHF,2,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,,,,N
5f11ca55109e4b4cbca780f0000cb2b5,30817445,C011346,51092GHF,2,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,总部发货,,,,,N
ecafe9d25e114c1283a3bfb80ee9e9f3,30817446,1171_9142010004,51091NVW,4,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,,,,N
9520b7eea4b643b78ffb63a739264dda,30587872,C011338,51092EPG,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,总部发货,,,,,N
b18e5c28745d41f3a25f75e14fe7334a,30817447,1851_2101020001,51092EPJ,1,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,,,,N
d028b69760f340259bc4877cdeb084c3,30587874,C112191,51092BES,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R0010,,,N
ed4262694c3d41ff9d9001d47916999c,30587875,2531_3503990042,51092GHF,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
96cd2e2bda6140609185137009280dd9,30721062,C131437,51091TJU,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
ad228651c7754d73acd1b58cff6b2cd5,30721063,C009160,51092HKL,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000167,,,N
088209204aea42d09277e79aefa62ea5,30721064,C105989,51092HKL,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000167,,,N
6f6451c71e41466d989edde6244417bc,30721065,C099237,51092HKM,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000167,,,N
cb98efcd414c40ed91b763bf36a26b96,30587876,443_1423990062,51092GHF,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
7ea255f59b8a491ca71411b405cfe3fc,30587877,C121720,51091YNV,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
3ca7805b5dc04e7f9ea90c9b79ce4db4,30721066,C015561,51092HKP,2,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000167,,,N
cffb2367b8c64bb280de060ffcaf240d,30721067,C087078,51092HKP,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000167,,,N
e24e4d99066347f9b6e7db068189121e,30721068,C110933,51091EVN,2,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
91bb45b98bb843948378bd48dd81638c,30817448,C036958,51092CQP,1,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,R0003,,,N
b15ffa1b730a49da8044c3c23e32ed19,29848017,C100869,51092ENT,3,2018-04-30 00:00:00.000,2018-05-06 17:03:33.371,本省发货,,R000462,,,N
574955726718442b84b2b202b26a6b5a,30817449,C036954,51092EPL,1,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,R0003,,,N
9be71188b01048ee95228b180f8ea74f,30817450,C082952,51092HKP,1,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,R0003,,,N
750730d3764343a8813834be99b2b647,30587878,C013475,51092FCG,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
9dff169327ff4f0c90f498734fe6cc4a,30587879,C100946,51092EPL,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R000159,,,N
64e45cc50699425caeab3ec1685f0696,30587880,C006406,51092GHF,4,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R000152,,,N
ea36a5ca3ede44ad839d3befefd691dd,30587881,C074285,51092GHF,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,R000159,,,N
b877ef23550140b081c91ea8f6142fd7,30587882,C088251,51092FCG,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
fa6309fb5a954a8f9f77a5a77325053d,30587883,C011438,51092ERC,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,总部发货,,,,,N
afd7c3efef314ff68a19ed57749092e1,30587884,2271_3101140076,51092GHF,1,2018-05-22 00:00:00.000,2018-05-23 16:30:12.410,本省发货,,,,,N
12a31ed72a134e94a537e36f4a0059e6,30721069,C009610,51091YES,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
dabee10ecbba4eb1b13e98e6cd572109,30721070,C041835,51092CQP,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
fafd92175ff841e1b1a285a512d26c47,30721071,C001110,51091YES,2,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
64fd46b09d844d7e9147a362fd1402bf,30721072,C124371,51091RMK,3,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
a4c338c3d924479d825aa8fc72f0bce7,30721073,C025758,51091PVX,3,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
4b0c77c5db334cb197d1158c6370e3f0,30721074,C124371,51091EVN,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
90d511b87f9c4382b142852378f9a640,30721075,C009297,51092BES,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
c92da24d9ad047e98d76e7b22e04a7bc,30721076,C009444,51092GKW,1,2018-05-26 00:00:00.000,2018-05-27 16:30:31.337,本省发货,,R000156,,,N
42c4489a924a49fb8627d363c4d278f5,30817451,2451_4501000200,51091YNR,1,2018-05-30 00:00:00.000,2018-05-31 16:30:06.685,本省发货,,,,,N
